Name,SMILES,logPI,method.logPI,pH,Name,nG,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,BCUTp.1h,Fsp3,XLogP,MW,LipinskiFailures,nRotB,MLogP,nAtomP,nAtomLC,nB,nBase,nAtom,ALogP,ALogp2,AMR,nAcid,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings3,nRings5,nRings6,nRings7,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,VAdjMat,TopoPSA,topoShape,PetitjeanNumber,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,MDEN.11,MDEN.12,MDEN.13,MDEN.22,MDEN.23,MDEN.33,khs.sCH3,khs.dCH2,khs.ssCH2,khs.tCH,khs.dsCH,khs.aaCH,khs.sssCH,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.aasN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.ssS,khs.aaS,khs.dssS,khs.ddssS,khs.sCl,khs.sI,Kier1,Kier2,Kier3,HybRatio,fragC,FMF,ECCEN,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SCH.3,SCH.4,SCH.5,SCH.6,SCH.7,VCH.3,VCH.4,VCH.5,VCH.6,VCH.7,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,nHBDon,nHBAcc,bpol,apol,CCCC,NCCC,CCNC,CCCO,CCNN,NCCN,CNNC,CNCN,NCCO,CNCO,CNNN,NCNN,OCNN,OSCC,NCSO,CH_strength,XH_strength,HBA_strength,Hyd_Apolar,Hyd_Polar,Hyd
1,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,-0.87,Potentiometric,7.4,2.4-Dichlorophenoxyacetic acid,0,11.70044346,34.97039027,-0.386038848,0.408628482,3.657534976,9.517353875,0.125,1.592,221.0376216,0,3,1.79,7,9,13,0,19,1.3117,1.72055689,53.2665,1,1,1,1,1,0,0,1,0,0.211529422,60,266,15,25.24384849,1.9418345,12.81773136,7.771488235,0,4.700439718,46.53,1,0.5,0,0,0,0,2.334815149,7.615919184,0,2.182247272,0,0,0.5,0.666666667,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,11.07692308,5.024221453,3.703703704,0.125,205.05,0.461538462,155,9.844934983,6.092224153,5.626784904,3.723956311,2.704354597,2.007352271,1.305624172,0.44014107,7.970654603,4.146010904,3.100793443,1.775540299,1.194802577,0.646472521,0.354987353,0.08263396,1.649102101,2.015547203,2.548288872,0.649613874,0.807590558,0.802930744,1.099292352,0,0.11785113,0,0.476120942,0,0.038575837,0,0,0,0,0.068041382,0.184195286,0,0,0,0.024056261,0.0643754,0,0,1,6,0,1,0,0,0,686.0904633,755.6173321,954.2678861,828.989031,529.8056393,30.74930692,18.23190919,27.24201148,27.95223457,25.56453776,0.430065742,-0.167006639,-0.188526246,0.202839,-0.044902463,1,3,10.273242,24.846758,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7386,1.2177,2.175,0.015630975,-11.79404876,-10.92535851
2,C1=CC=C(C=C1)CCCCN,-0.45,Potentiometric,7.4,4-Phenylbutylamine,0,11.69413232,14.00912305,-0.366974845,0.255080001,4.797982796,8.721877468,0.4,2.244,149.2331735,0,4,2.45,6,9,11,1,26,1.7031,2.90054961,52.6266,0,1,1,1,1,0,0,1,0,0.174489817,46,182,10,21.70652558,1.973320508,2.418993748,0,2.418993748,4.459431619,26.02,1,0.5,0,0,0,0,13.41571659,4.797076866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.090909091,5.625,3.786982249,0.4,566.01,0.545454545,135,7.9413113,5.431851653,3.999817761,2.940670698,2.158827503,1.573206584,0.781474414,0.450523785,6.79252874,4.172485284,2.731380475,1.762400637,1.11813895,0.701600036,0.335624525,0.16758377,0.433012702,0.612372436,0.649519053,0.219416097,0.27300174,0.255985446,0.204124145,0,0,0,0.11785113,0,0,0,0,0,0,0.102062073,0.072168784,0,0,0,0.032075015,0.022680461,0,0,0,5,1,1,3,0,0,559.7673224,582.0078352,645.2819299,532.550833,356.6597698,11.3599803,11.16618193,12.16618193,10.16618193,7.166181933,0.030911812,-0.012184413,-0.001840046,0.001541016,-0.006076557,1,1,15.738105,28.701895,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.798,0.8574,1.2438,0.621916826,-5.618140535,-4.996223709
3,C1=CC=C(C=C1)CCCCC(=O)O,-0.95,Potentiometric,7.4,5-Phenylvaleric acid,0,11.69413086,16.00979128,-0.381548756,0.376915504,3.71852415,8.75763165,0.363636364,2.771,178.2280753,0,5,2.45,6,10,13,0,27,2.3714,5.62353796,55.3072,1,1,1,1,1,0,0,1,0,0.209433632,56,304,12,25.54081796,1.964678305,4.767363037,4.767363037,0,4.700439718,37.3,0.8,0.444444444,0,0,0,0,13.41571659,6.477814221,0,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11.07692308,6.453333333,5.333333333,0.363636364,573.02,0.461538462,184,9.518661569,6.2876937,5.182339745,3.368591722,2.461413361,1.800877485,0.861868066,0.625221812,7.570640357,4.545521327,3.086443884,1.948918659,1.250027108,0.798863988,0.377926343,0.222875558,0.721687836,0.816496581,0.79385662,0.265059643,0.305276601,0.27880722,0.612372436,0,0,0,0.182400853,0,0,0,0,0,0,0.102062073,0.072168784,0,0,0,0.032075015,0.022680461,0,0,1,5,1,0,4,0,0,615.6796004,647.827739,734.3849391,609.5221771,436.8814193,14.54893807,13.66418395,16.43865299,12.66418395,9.664183954,0.193124871,-0.093242714,0.002219935,-0.000679359,0.003471959,1,2,16.262898,30.299102,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5707,0.9923,1.7078,0.155783939,-9.541945507,-9.386161568
4,CC(=O)OC1C=CC2C3CC4=C5C2(C1OC5=C(C=C4)O)CCN3C,-0.42,Potentiometric,7.4,6-Acetylmorphine,0,11.6828604,16.01034908,-0.398729803,0.382150136,4.147552604,13.25984345,0.526315789,0.584,327.3750608,0,2,3,8,10,28,1,45,0.4818,0.23213124,92.4572,0,5,1,1,1,0,1,4,0,0.180347029,146,1082,53,50.62077879,2.109199116,14.59032378,11.24880184,3.341521935,5.807354922,59,0.8,0.444444444,0.111111111,2.855156801,3.862352432,0.447213595,6.19869471,21.04019935,2.941713421,13.10663429,5.018135372,0,0.125,1.092048345,0.333333333,0,0,0,0,0,0,2,0,3,0,2,2,4,0,1,4,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,16.19387755,5.497283951,2.074285714,0.526315789,1849.05,0.75,377,16.63746372,11.51971107,11.44790761,10.26720852,9.703931931,9.196007586,7.688425707,6.422916103,13.85929456,8.599079616,7.513566178,6.432489064,5.512566685,4.690015142,3.434659695,2.513871581,5.749105188,11.09911777,19.44682843,3.340935103,5.89833525,9.229743163,2.266857412,0.068041382,0.768544355,0.078236016,1.299602061,0.058925565,0.416874014,0.048262135,0,0,0.068041382,0.396311673,1.152447959,0,0,0.029462783,0.203955737,0.532705504,0,0,1,6,2,2,5,1,1,2074.3693,2675.846554,4409.135336,5016.538997,4360.537893,27.45785644,30.49109766,49.59393461,58.36840364,56.64610739,0.580019262,-0.287787078,-0.102446715,0.245412428,-0.199887844,1,5,29.727347,51.750653,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2171,0.9938,3.8061,-2.517614723,-19.54866157,-19.14923518
5,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,-2.08,Counter-current chromatography,7.4,Acebutolol,0,11.69274637,16.00772132,-0.416698325,0.366987117,4.739980644,9.842462279,0.555555556,1.077,336.4266134,0,11,2.78,12,16,24,1,52,0.2215,0.04906225,97.2242,0,1,1,1,1,0,0,1,0,0.26073385,110,1568,31,46.79789271,1.949912196,16.4302377,10.52299155,5.907246145,5.584962501,87.66,0.875,0.466666667,0.697550113,4.456903501,5.114897879,0,5.052151556,13.63204252,0,5.441913594,0,0,0.380530286,0.685006711,0,0,0,0,0.111111111,0,0,4,0,4,0,0,3,2,0,2,3,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,22.04166667,11.58376691,8.792387543,0.555555556,2152.06,0.25,522,18.1125197,11.32860626,10.13029735,6.797257839,5.188511181,4.029057096,2.501759911,1.865125265,14.88713694,8.321366148,6.093077729,3.312624282,2.075920016,1.353330212,0.682318853,0.402158961,2.868867887,3.850937933,5.176235251,0.997912619,1.062417067,1.185932557,1.825805468,0,0.204124145,0,0.806433118,0,0.046473128,0,0,0,0,0.068041382,0.135508755,0,0,0,0.024056261,0.033877189,0,0,1,6,1,6,4,0,0,1321.909001,1451.682602,1838.993159,1841.635455,1724.828459,27.81783674,26.32518762,35.20728901,35.64939418,35.81530423,0.593619029,-0.212542805,-0.15407933,0.003109481,0.134546354,3,6,35.761796,55.758204,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.1763,2.2441,5.2398,2.014674952,-25.80638145,-23.7917304
6,CC(C)NCC(COC1=CC=CC=C1CC=C)O,-1.39,Counter-current chromatography,7.4,Alprenolol,0,11.69302277,16.0004636,-0.416478726,0.310972293,5.119121679,9.5073606,0.466666667,2.129,249.3491889,0,8,2.78,7,12,18,1,41,1.6913,2.86049569,78.9805,0,1,1,1,1,0,0,1,0,0.166510899,80,711,21,35.25593303,1.958662946,8.449400711,5.577817873,2.871582838,5.169925001,41.49,0.833333333,0.454545455,0.481411137,4.012064506,2.778326636,0,8.83792507,10.16457765,0,1.771030138,0,0,0,0.333333333,0,0,0,0,0,0,0,2,1,3,0,1,4,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,16.05555556,8.991735537,6.666666667,0.466666667,1375.03,0.333333333,305,13.38046889,8.630228955,7.2470106,4.993035501,3.676110187,3.025524032,1.618154291,0.995817782,11.2253409,6.361824055,4.62829854,2.529807165,1.585416845,1.076626742,0.464453038,0.241238857,1.639732467,2.06593234,2.776561198,0.691196572,0.705838637,0.781419764,1.030256758,0,0.083333333,0,0.578762217,0,0.024056261,0,0,0,0,0.083333333,0.11785113,0,0,0,0.027777778,0.030982085,0,0,1,6,1,4,3,0,0,980.913686,1052.707201,1269.2985,1205.89496,1035.170291,19.90891837,19.3286398,24.15900569,23.82248047,20.88182951,0.309944683,-0.11029417,-0.140675474,0.062994593,0.089571242,2,3,27.719761,44.440239,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1466,1.2923,2.753,1.496486616,-13.92712715,-12.43064054
7,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,4.02,Potentiometric,7.4,Amiodarone,0,11.67447393,126.9055807,-0.421975354,0.404860803,5.300174081,14.80822846,0.4,6.109,645.3125433,3,11,3.55,18,17,33,1,60,4.1546,17.26070116,152.4467,0,3,3,2,2,0,1,2,0,0.06010632,156,2897,50,62.52204478,2.016840154,17.17903023,8.834596686,3.216683173,6.044394119,38.77,1,0.5,0.297637697,5.432065098,3.240127882,0,13.65617357,26.25505655,0,13.41571659,0,0,0,0.40824829,0.125,0,0,0,0,0,0,3,0,7,0,0,6,0,0,1,6,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,2,25.61983471,12.45925926,6.320881483,0.4,2914.06,0.516129032,792,22.38010441,14.99393226,12.74620098,11.00665268,9.140614077,6.991292675,4.919585429,3.792747406,22.65673308,13.04624232,9.797817504,7.06424909,5.727816629,3.08331696,2.114899539,1.305274237,4.696422478,7.894399993,10.89210314,2.746550866,4.884036012,5.112721704,1.751255394,0,0.521783023,0,1.341197476,0,0.232266418,0,0,0,0.07856742,0.350916477,0.69298529,0,0,0.025515518,0.108873849,0.244241553,0,0,0,12,3,7,3,0,0,2926.121591,3393.508898,4720.047837,5031.977078,4689.025624,254.9607126,54.29084541,86.75105305,118.287615,221.6278445,0.494658358,-0.203623474,-0.117118193,0.129715773,-0.04867321,0,4,45.653003,77.542997,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12.2153,0,3.9478,0.357815488,-21.04849426,-18.45757648
8,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,0.16,Potentiometric,7.4,Amitriptyline,0,11.67245137,14.02005243,-0.398092323,0.307759175,5.733359263,12.04204182,0.3,4.792,277.4040585,0,3,3.55,14,10,23,1,44,3.7596,14.13459216,99.0899,0,3,2,1,2,0,0,2,1,0.011689026,108,882,35,43.27108331,2.060527777,2.98473945,0,2.98473945,5.523561956,3.24,0.8,0.444444444,0.5,4.122596842,1.625198014,0,21.4769147,23.93396682,0,5.841906811,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,8,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.87901701,7.513007284,3.854848305,0.3,1696.01,0.714285714,331,14.65648977,10.2540202,8.982738022,7.262809385,6.252455047,5.294526856,3.828924622,2.944232484,12.97179314,7.769385702,6.02404445,4.203521425,3.103552223,2.265414682,1.488267017,0.985923074,2.56097718,4.350864458,6.367855926,1.336472708,1.885349852,2.355893268,1.149829914,0,0.247193875,0,0.736858262,0,0.100592232,0,0,0,0,0.166666667,0.214076175,0,0,0,0.055555556,0.067061488,0,0,0,9,5,1,3,0,0,1664.362274,1946.554465,2693.477615,3122.227053,2621.264165,21.3599803,23.4985458,31.16618193,35.16618193,32.16618193,0.100415273,-0.066940815,0.006829029,0.014622991,-0.006831634,0,1,27.123761,51.636239,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1026,0,0.9227,-1.451888145,-4.810325048,-6.262237094
9,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,1.09,Potentiometric,7.4,Amlodipine,0,11.68831039,34.96938085,-0.417728193,0.429296084,4.69368743,13.42208227,0.4,2.079,408.8766054,0,10,2.78,11,12,29,1,53,0.8144,0.66324736,112.6869,0,2,1,2,1,0,0,2,0,0.244716831,136,1836,47,55.62820097,1.986721463,21.70294858,13.62262083,5.52321893,5.857980995,99.88,0.833333333,0.454545455,0.421716333,3.70091541,6.544678751,0,6.271825446,17.91731385,0,16.39533183,0,0,0.166666667,1.449037065,0.50471726,0,0.166666667,0,0,0,0,3,0,4,0,0,4,1,0,6,2,0,0,1,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,24.27110583,12,6.016375934,0.4,2160.08,0.428571429,485,20.6814338,13.45512612,11.27798526,9.317600305,7.900617339,6.331152443,4.890119715,3.154360555,16.96766361,9.32000112,6.47094223,4.614539122,3.36332829,2.365139057,1.494384815,0.804031993,4.09864645,7.471432227,11.75406415,1.770749976,2.684639358,3.647595961,1.578891805,0,0.506917856,0,0.760224783,0,0.197128369,0,0,0,0,0.128694254,0.287449212,0,0,0,0.045819974,0.105397796,0,0,2,7,3,6,0,1,0,2067.767825,2450.216712,3497.078411,4105.632996,4232.755279,40.30525569,34.10705226,47.60803286,58.11379266,67.88117574,0.83350186,-0.498574092,0.162116241,-0.0612765,0.041783076,2,7,35.414175,60.259825,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11.6573,2.0493,6.081,0.492256214,-30.06847514,-25.07657744
10,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,-1.99,Potentiometric,7.4,Atropine,0,11.69319782,16.01006574,-0.420887666,0.397372001,4.743778665,9.846660652,0.588235294,1.632,289.3700656,0,5,2.89,6,12,23,1,44,1.2548,1.57452304,84.9542,0,4,1,2,1,0,1,2,1,0.172114603,110,959,32,42.8592789,2.040918043,11.41587363,8.115948233,3.299925399,5.523561956,49.77,0.833333333,0.454545455,0,1.674382703,1.43353414,0,10.91155129,17.39262802,0,5.328173333,0,0,0.25,0.707106781,0,0,0,0,0,0,0,1,0,5,0,0,5,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,15.87901701,7.05078125,3.50459708,0.588235294,1696.04,0.80952381,393,14.81962648,10.18587185,8.977235403,7.830307346,6.612031323,4.745212298,3.058412862,2.030222842,12.4426101,7.769561597,6.226609618,5.006836851,3.705569433,2.520389923,1.493686464,0.78043038,3.301271508,5.425249371,6.621477664,1.915508578,2.696602769,2.999706911,1.268359259,0,0.356716516,0,0.771520858,0,0.200102235,0,0,0,0.096225045,0.389925437,0.495094957,0,0,0.074535599,0.255053018,0.343513055,0,0,1,5,1,1,7,1,0,1341.250607,1569.702974,2174.762855,2036.618562,1464.049923,23.68338741,24.82691371,35.09965665,35.15500973,30.42331944,0.458097303,-0.210962295,0.024009185,-0.206017309,0.259977654,1,4,29.997761,48.762239,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1945,0.7698,3.4192,0.136591778,-17.65200765,-14.98142925
